ID,Cluster
beyati--sarki--curcuna--kalbim_yine--selahaddin_pinar,1
beyati--sarki--devrihindi--nar-i_firkat--mahmud_celaleddin_pasa,1
beyati--sarki--duyek--aklimdan_gecenleri--arif_sami_toker,1
beyati--sarki--duyek--askn_fecri--sadettin_kaynak,1
beyati--sarki--duyek--bende_oldum--rifat_bey,1
beyati--sarki--duyek--dilbera_sazin--tanburi_isak,3
beyati--sarki--duyek--emel-i_meyl-i--sevki_bey,3
beyati--sarki--duyek--gonul_telim--erdinc_celikkol,1
beyati--sarki--duyek--hayli_demdir--suphi_ziya_ozbekkan,1
beyati--sarki--duyek--ruhuma_sundugun--sadettin_kaynak,1
beyati--sarki--duyek--seni_ne_cok--erol_sayan,1
beyati--sarki--duyek--zaman_icinde--semahat_ozdenses,1
beyati--sarki--evfer--bulunmaz_derdime--ama_hasadur,3
beyati--sarki--kapali_curcuna--bilmezsin_dusundugum--rakim_elkutlu,3
beyati--sarki--sarkidevrirevani--meyleyledi_gonlum--tanburi_isak,3
beyati--sarki--senginsemai--bir_boyle--fehmi_tokay,3
beyati--sarki--sofyan--acilan_bir--ertugrul_yalcinkaya,3
beyati--sarki--turkaksagi--askinla_harab--serif_icli,3
beyati--sarki--yuruksemai--bir_gun--sadi_hosses,1
beyati--sarki--yuruksemai_ii--uzulme_bir--omer_sami_gupgup,1
beyati--sazsemaisi--aksaksemai----gevheri_osmanoglu,1
beyati--sazsemaisi--aksaksemai----kanuni_omer_efendi,1
beyati--sazsemaisi--aksaksemai----nayi_osman_dede,3
beyati--sazsemaisi--aksaksemai----tanburi_isak,1
beyati--sazsemaisi--aksaksemai--arap--misirli_udi_ibrahim_efendi,3
beyati--sazsemaisi--aksaksemai--beyatiye_bir_damla--necmi_kiran,1
beyati--seyir--semai--1--rauf_yekta,3
beyati--seyir--sofyan--1--erol_bingol,3
beyati--seyir--sofyan--1--sefik_gurmeric,1
beyati--turku--3334--kirmizi_gul--erzurum,3
beyati--turku--devrihindi--bir_cift--yozgat,3
beyati--turku--kapali_curcuna--aksam_olur--urfa,3
beyati--turku--nimsofyan--gesi_baglarinda--kayseri,3
beyati--turku--sofyan--tren_gelir--malatya,0
beyati--yuruksemai--senginsemai--gelse_nesim-i--iv_murad,0
beyati--yuruksemai--yuruksemai--gul_yuzlulerin--tabi_mustafa_efendi,1
beyati-arabanbuselik--kupe--agiraksak--gel--ahmet_avni_konuk,2
beyatiaraban--ilahi--duyek--gonul_mazhardir--enderunlu_hafiz_husnu_efendi,1
beyatiaraban--kupe--duyek--ehl-i--ahmet_avni_konuk,2
