makam,form,usul,title,composer,filename,note_count,unique_note_count,minimum_koma53,maximum_koma53,mean_koma53,median_koma53,std_koma53,koma53_range,total_unit_duration,minimum_unit_duration,maximum_unit_duration,mean_unit_duration,median_unit_duration,std_unit_duration,most_common_note,most_common_note_count
acemasiran,sarki,senginsemai,canan_okuyor,ali_riza_avni_tinaz,acemasiran--sarki--senginsemai--canan_okuyor--ali_riza_avni_tinaz.txt,482,21,-1,380,317.53941908713693,327.0,55.4684407853201,381,65.25,0.041666666666666664,0.5,0.13537344398340248,0.08333333333333333,0.11205209856564634,F5,70
acemasiran,sarki,senginsemai,zehrolsa_bile,bimen_sen,acemasiran--sarki--senginsemai--zehrolsa_bile--bimen_sen.txt,351,18,-1,367,301.5327635327635,323.0,86.27393867740416,368,54.25,0.0625,1.0,0.15455840455840456,0.125,0.11127772916326523,F5,53
acemasiran,sarki,sofyan,bakma_sakin,sakir_aga,acemasiran--sarki--sofyan--bakma_sakin--sakir_aga.txt,481,18,-1,371,320.6819126819127,331.0,55.760057624916655,372,44.25,0.03125,0.375,0.091995841995842,0.0625,0.06242646076391257,F5,72
acemasiran,sarki,sofyan,gonul_sana,sadettin_kaynak,acemasiran--sarki--sofyan--gonul_sana--sadettin_kaynak.txt,1095,17,-1,371,310.2118721461187,318.0,66.45874616023251,372,176.25,0.0625,0.75,0.16095890410958905,0.125,0.10370825438136357,C5,148
acemasiran,sarki,sofyan,nideyim_bilmem,sadettin_kaynak,acemasiran--sarki--sofyan--nideyim_bilmem--sadettin_kaynak.txt,388,21,-1,380,305.10051546391753,336.0,90.61337181778632,381,74.5,0.0,1.75,0.19201030927835053,0.125,0.17662377807203117,E5,54
acemasiran,sarki,yuruksemai,gel_ey_denizin,aleko_bacanos,acemasiran--sarki--yuruksemai--gel_ey_denizin--aleko_bacanos.txt,386,20,-1,380,303.5958549222798,327.0,86.61122199219622,381,52.625,0.03125,0.625,0.13633419689119172,0.125,0.10256480072137653,E5,44
acemasiran,sazsemaisi,aksaksemai,,gazi_giray_han,acemasiran--sazsemaisi--aksaksemai----gazi_giray_han.txt,620,15,-1,380,307.84193548387094,327.0,81.37383079796437,381,67.875,0.0625,1.25,0.10947580645161291,0.0625,0.07855037214816454,A4,72
acemasiran,sazsemaisi,aksaksemai,,misirli_udi_ibrahim_efendi,acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi.txt,605,21,-1,393,308.11404958677684,318.0,61.47541815540293,394,81.375,0.03125,1.25,0.13450413223140495,0.125,0.11153438140863853,C5,96
acemasiran,sazsemaisi,aksaksemai,,serafettin_seref_cakar,acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar.txt,736,21,-1,380,311.1807065217391,327.0,73.7275086519079,381,105.5,0.03125,1.5,0.14334239130434784,0.0625,0.1658666283223017,E5,105
acemasiran,selam,agirduyek,her_ruz,huseyin_fahreddin_dede,acemasiran--selam--agirduyek--her_ruz--huseyin_fahreddin_dede.txt,712,19,-1,362,304.7626404494382,318.0,71.90068637192418,363,168.0,0.0625,1.0,0.23595505617977527,0.25,0.1534523618991576,C5,106
acemasiran,selam,mevlevievferi,bi_dil,huseyin_fahreddin_dede,acemasiran--selam--mevlevievferi--bi_dil--huseyin_fahreddin_dede.txt,399,17,-1,366,303.16040100250626,327.0,85.8910103803675,367,63.25,0.0625,0.75,0.15852130325814537,0.125,0.08823403622211778,F5,62
acemasiran,selam,mevlevievferi,sultan-i_meni,huseyin_fahreddin_dede,acemasiran--selam--mevlevievferi--sultan-i_meni--huseyin_fahreddin_dede.txt,217,15,-1,362,308.93087557603684,333.0,80.39410918895348,363,36.25,0.0625,0.75,0.16705069124423963,0.125,0.10397287400862093,F5,42
acemasiran,seyir,semai,1,rauf_yekta,acemasiran--seyir--semai--1--rauf_yekta.txt,71,14,-1,380,316.056338028169,336.0,71.06915893770432,381,24.0,0.25,0.75,0.3380281690140845,0.25,0.1274656224613395,F5,9
acemasiran,seyir,sofyan,1,erol_bingol,acemasiran--seyir--sofyan--1--erol_bingol.txt,103,15,-1,358,319.0194174757282,327.0,36.95545293482578,359,16.0,0.0625,0.75,0.1553398058252427,0.125,0.10423921897496616,F5,14
acemasiran,seyir,sofyan,1,sefik_gurmeric,acemasiran--seyir--sofyan--1--sefik_gurmeric.txt,101,21,-1,380,324.7920792079208,327.0,41.81131828385304,381,16.0,0.0625,0.75,0.15841584158415842,0.125,0.09335933454419355,D5,11
acemasiran,yuruksemai,yuruksemai,bileydi_dil,itri,acemasiran--yuruksemai--yuruksemai--bileydi_dil--itri.txt,885,17,-1,367,311.89830508474574,318.0,62.06609423578302,368,148.875,0.0625,0.5,0.16822033898305086,0.125,0.09843556839028944,C5,164
acemasiran,yuruksemai,yuruksemai_ii,,huseyin_fahreddin_dede,acemasiran--yuruksemai--yuruksemai_ii----huseyin_fahreddin_dede.txt,163,12,0,358,324.18404907975463,327.0,33.2729525835506,358,24.125,0.0625,0.375,0.14800613496932516,0.125,0.05849722974684993,F5,34
acemasiran,zeybek,agiraksak,su_izmirin,tahsin_karakus,acemasiran--zeybek--agiraksak--su_izmirin--tahsin_karakus.txt,605,17,0,371,328.0330578512397,327.0,26.427814305108985,371,90.25,0.0625,0.5,0.14917355371900826,0.125,0.09346768849024777,F5,84
acembuselik,kupe,agiraksak,istedik,ahmet_avni_konuk,acembuselik--kupe--agiraksak--istedik--ahmet_avni_konuk.txt,101,12,-1,362,308.9306930693069,332.0,86.09381597138584,363,18.0,0.0625,0.5,0.1782178217821782,0.125,0.10620813094677789,D5,17
acembuselik,sarki,aksak,coktan_idim,kemenceci_usta_yani,acembuselik--sarki--aksak--coktan_idim--kemenceci_usta_yani.txt,214,17,-1,380,319.6121495327103,336.0,76.35550680711223,381,21.375,0.03125,0.375,0.09988317757009346,0.0625,0.06312373413494246,G5,35
acemkurdi,agirsemai,agir_aksaksemai,dur_etme,osep_aga,acemkurdi--agirsemai--agir_aksaksemai--dur_etme--osep_aga.txt,625,16,-1,362,297.44,318.0,88.64554163228996,363,136.5,0.0625,2.5,0.2184,0.125,0.22009417601132147,A4,97
acemkurdi,aranagme,aksak,1,,acemkurdi--aranagme--aksak--1--.txt,85,10,-1,358,280.84705882352944,318.0,110.1353610749229,359,13.625,0.0625,1.0,0.16029411764705884,0.125,0.17046828524540805,D5,14
acemkurdi,aranagme,curcuna,1,,acemkurdi--aranagme--curcuna--1--.txt,110,8,-1,340,298.3090909090909,327.0,90.46705979207488,341,20.125,0.125,0.625,0.18295454545454545,0.125,0.09378213933392845,E5,24
acemkurdi,aranagme,duyek,1,,acemkurdi--aranagme--duyek--1--.txt,65,8,-1,340,283.04615384615386,309.0,100.30039736480839,341,8.125,0.0625,0.25,0.125,0.125,0.038273277230987154,A4,12
acemkurdi,aranagme,senginsemai,1,,acemkurdi--aranagme--senginsemai--1--.txt,131,10,-1,362,320.90076335877865,327.0,52.197532355736755,363,24.25,0.0625,0.5,0.1851145038167939,0.125,0.13398880404173313,F5,20
acemkurdi,aranagme,sofyan,,,acemkurdi--aranagme--sofyan----.txt,32,8,-1,340,287.46875,309.0,95.24873528074085,341,4.0,0.0625,0.25,0.125,0.125,0.03888568855239095,A4,6
acemkurdi,fantezi,nimsofyan,askin_kanununu,sadettin_oktenay,acemkurdi--fantezi--nimsofyan--askin_kanununu--sadettin_oktenay.txt,277,11,-1,371,299.5956678700361,327.0,91.98359011655215,372,44.25,0.0625,0.5,0.15974729241877256,0.125,0.11475094818952943,D5,54
acemkurdi,fantezi,semai,son_verelim,sekip_ayhan_ozisik,acemkurdi--fantezi--semai--son_verelim--sekip_ayhan_ozisik.txt,257,10,0,358,319.14396887159535,318.0,24.62656032110508,358,96.25,0.125,0.75,0.3745136186770428,0.25,0.23241315752420225,A4,64
acemkurdi,fantezi,sofyan,sana_oyle,alaaddin_pakyuz,acemkurdi--fantezi--sofyan--sana_oyle--alaaddin_pakyuz.txt,533,12,-1,371,304.71482176360223,327.0,87.33842926954208,372,107.25,0.125,0.5,0.20121951219512196,0.125,0.11709362070384549,D5,90
acemkurdi,kupe,musemmen,bezmimizde,ahmet_avni_konuk,acemkurdi--kupe--musemmen--bezmimizde--ahmet_avni_konuk.txt,65,12,-1,362,306.24615384615385,336.0,90.6583612334707,363,8.0,0.0625,0.25,0.12307692307692308,0.125,0.0643943678855893,F5,12
acemkurdi,nakis,yuruksemai,gonlum_yine,muallim_ismail_hakki_bey,acemkurdi--nakis--yuruksemai--gonlum_yine--muallim_ismail_hakki_bey.txt,408,13,-1,371,294.94607843137254,336.0,106.89608738441753,372,95.5,0.0625,1.0,0.2340686274509804,0.25,0.14476328707104977,F5,75
acemkurdi,nefes,bektasiraksani,sah_merdanin,,acemkurdi--nefes--bektasiraksani--sah_merdanin--.txt,262,11,-1,380,341.0687022900763,349.0,34.572305448966276,381,30.125,0.0625,0.25,0.11498091603053436,0.125,0.05933902867474229,G5,59
acemkurdi,pesrev,fahte,,muallim_ismail_hakki_bey,acemkurdi--pesrev--fahte----muallim_ismail_hakki_bey.txt,576,25,-1,380,328.22743055555554,340.0,61.55488475791654,381,75.25,0.03125,0.5,0.1306423611111111,0.125,0.07311050839105188,A5,90
acemkurdi,sarki,agiraksak,sevdi_gonlum,nikogos_aga,acemkurdi--sarki--agiraksak--sevdi_gonlum--nikogos_aga.txt,544,17,-1,371,314.3492647058824,327.0,71.16918394553278,372,72.25,0.0625,0.5,0.1328125,0.125,0.08771431921630647,F5,77
acemkurdi,sarki,aksak,altin_tasta,nimet_hanim,acemkurdi--sarki--aksak--altin_tasta--nimet_hanim.txt,495,10,-1,358,319.82626262626263,327.0,40.524473002336784,359,63.125,0.03125,0.375,0.1275252525252525,0.0625,0.09794478050940383,D5,112
